event_id,name,phone,prefer_to_names,prefer_to_phones,got_wanted_neighbor,avoid_to_names,avoid_to_phones,avoided_unwanted,requested_features,actual_features,features_matched,neighbor_names,neighbor_phones
evt_auto_001,David Cohen,9.72501E+11,"['Maya Rosen', 'Yael Gal']","['+972511234567', '+972567890123']",TRUE,"['Leah Peretz', 'Rina Shapiro']","['+972589012345', '+972545678901']",TRUE,[],"['Writing Table', 'Stage', 'Screen', 'Charging Point']",,"['Moshe Katz', 'Nativ Levi', 'Yael Gal']","['+972534567890', '+972524559623', '+972511234567']"
evt_auto_001,Sarah Levy,9.72522E+11,"['Yossi Mizrahi', 'Neria Atias']","['+972556789012', '+972526071633']",FALSE,['David Cohen'],['+972501234567'],TRUE,['Charging Point'],"['Writing Table', 'Charging Point']",TRUE,"['Moshe Katz', 'Leah Peretz', 'Maya Rosen']","['+972534567890', '+972589012345', '+972567890123']"
evt_auto_001,Moshe Katz,9.72535E+11,['Yossi Mizrahi'],['+972556789012'],FALSE,"['Leah Peretz', 'Rina Shapiro']","['+972589012345', '+972545678901']",TRUE,"['Writing Table', 'Stage', 'Screen']",['Writing Table'],TRUE,"['Yael Gal', 'David Cohen', 'Maya Rosen', 'Sarah Levy']","['+972511234567', '+972501234567', '+972567890123', '+972522345678']"
evt_auto_001,Rina Shapiro,9.72546E+11,"['Maya Rosen', 'David Cohen']","['+972501234567', '+972567890123']",FALSE,"['Amit Cohen', 'Yael Gal']","['+972590123456', '+972511234567']",FALSE,['Stage'],"['Stage', 'Screen', 'Charging Point']",TRUE,"['Yossi Mizrahi', 'Amit Cohen', 'Eli Ben-David', 'Neria Atias']","['+972556789012', '+972590123456', '+972578901234', '+972526071633']"
evt_auto_001,Yossi Mizrahi,9.72557E+11,"['Leah Peretz', 'Rina Shapiro']","['+972589012345', '+972545678901']",TRUE,['Amit Cohen'],['+972590123456'],FALSE,['Writing Table'],"['Writing Table', 'Stage', 'Screen']",TRUE,"['Nativ Levi', 'Amit Cohen', 'Rina Shapiro', 'Eli Ben-David', 'Neria Atias']","['+972524559623', '+972590123456', '+972545678901', '+972578901234', '+972526071633']"
evt_auto_001,Maya Rosen,9.72568E+11,"['Rina Shapiro', 'David Cohen']","['+972545678901', '+972501234567']",FALSE,['Neria Atias'],['+972526071633'],TRUE,"['Writing Table', 'Stage']","['Stage', 'Screen', 'Charging Point']",TRUE,"['Moshe Katz', 'Leah Peretz', 'Sarah Levy']","['+972534567890', '+972589012345', '+972522345678']"
evt_auto_001,Eli Ben-David,9.72579E+11,"['Maya Rosen', 'David Cohen']","['+972501234567', '+972567890123']",FALSE,"['Nativ Levi', 'Leah Peretz']","['+972589012345', '+972524559623']",TRUE,"['Screen', 'Charging Point']",[],FALSE,"['Yossi Mizrahi', 'Rina Shapiro', 'Amit Cohen', 'Neria Atias']","['+972556789012', '+972545678901', '+972590123456', '+972526071633']"
evt_auto_001,Leah Peretz,9.72589E+11,['Neria Atias'],['+972526071633'],FALSE,['Maya Rosen'],['+972567890123'],FALSE,['Writing Table'],['Screen'],FALSE,"['Maya Rosen', 'Sarah Levy']","['+972567890123', '+972522345678']"
evt_auto_001,Amit Cohen,9.7259E+11,"['Leah Peretz', 'Eli Ben-David']","['+972589012345', '+972578901234']",TRUE,['Rina Shapiro'],['+972545678901'],FALSE,"['Screen', 'Charging Point']","['Writing Table', 'Stage']",FALSE,"['Yossi Mizrahi', 'Rina Shapiro', 'Eli Ben-David', 'Neria Atias']","['+972556789012', '+972545678901', '+972578901234', '+972526071633']"
evt_auto_001,Yael Gal,9.72511E+11,"['Moshe Katz', 'Rina Shapiro']","['+972534567890', '+972545678901']",TRUE,[],[],TRUE,[],[],,"['Moshe Katz', 'David Cohen']","['+972534567890', '+972501234567']"
evt_auto_001,Nativ Levi,9.72525E+11,[],[],TRUE,"['Amit Cohen', 'Sarah Levy']","['+972590123456', '+972522345678']",TRUE,"['Stage', 'Screen']",['Charging Point'],FALSE,"['Yossi Mizrahi', 'David Cohen']","['+972556789012', '+972501234567']"
evt_auto_001,Neria Atias,9.72526E+11,[],[],TRUE,['Sarah Levy'],['+972522345678'],TRUE,"['Stage', 'Screen']",['Stage'],TRUE,"['Yossi Mizrahi', 'Rina Shapiro', 'Amit Cohen', 'Eli Ben-David']","['+972556789012', '+972545678901', '+972590123456', '+972578901234']"
evt_auto_002,David Cohen,9.72501E+11,['Rina Shapiro'],['+972545678901'],FALSE,[],[],TRUE,"['Speakers', 'Dance Floor']",['Speakers'],TRUE,"['Leah Peretz', 'Yossi Mizrahi', 'Sarah Levy']","['+972589012345', '+972556789012', '+972522345678']"
evt_auto_002,Sarah Levy,9.72522E+11,[],[],TRUE,[],[],TRUE,"['Exit', 'Speakers']",[],FALSE,"['Leah Peretz', 'Yossi Mizrahi', 'David Cohen']","['+972589012345', '+972556789012', '+972501234567']"
evt_auto_002,Moshe Katz,9.72535E+11,"['Sarah Levy', 'Eli Ben-David']","['+972578901234', '+972522345678']",TRUE,[],[],TRUE,"['Exit', 'Speakers', 'Dance Floor']","['Exit', 'Dance Floor']",TRUE,"['Eli Ben-David', 'Neria Atias']","['+972578901234', '+972526071633']"
evt_auto_002,Rina Shapiro,9.72546E+11,['Nativ Levi'],['+972524559623'],FALSE,"['Leah Peretz', 'David Cohen']","['+972589012345', '+972501234567']",TRUE,['Exit'],[],FALSE,"['Amit Cohen', 'Yael Gal']","['+972590123456', '+972511234567']"
evt_auto_002,Yossi Mizrahi,9.72557E+11,['David Cohen'],['+972501234567'],TRUE,[],[],TRUE,['Speakers'],['Exit'],FALSE,"['Leah Peretz', 'Eli Ben-David', 'David Cohen', 'Sarah Levy']","['+972589012345', '+972578901234', '+972501234567', '+972522345678']"
evt_auto_002,Maya Rosen,9.72568E+11,['Nativ Levi'],['+972524559623'],TRUE,"['Amit Cohen', 'David Cohen']","['+972590123456', '+972501234567']",TRUE,['Dance Floor'],[],FALSE,"['Nativ Levi', 'Neria Atias']","['+972524559623', '+972526071633']"
evt_auto_002,Eli Ben-David,9.72579E+11,['Yael Gal'],['+972511234567'],FALSE,"['Nativ Levi', 'Leah Peretz']","['+972589012345', '+972524559623']",TRUE,['Speakers'],"['Exit', 'Speakers', 'Dance Floor']",TRUE,"['Moshe Katz', 'Yossi Mizrahi']","['+972534567890', '+972556789012']"
evt_auto_002,Leah Peretz,9.72589E+11,['Neria Atias'],['+972526071633'],FALSE,[],[],TRUE,"['Exit', 'Speakers']","['Exit', 'Speakers', 'Dance Floor']",TRUE,"['Yossi Mizrahi', 'David Cohen', 'Sarah Levy']","['+972556789012', '+972501234567', '+972522345678']"
evt_auto_002,Amit Cohen,9.7259E+11,"['Maya Rosen', 'Eli Ben-David']","['+972578901234', '+972567890123']",FALSE,[],[],TRUE,"['Exit', 'Speakers']","['Speakers', 'Dance Floor']",TRUE,"['Rina Shapiro', 'Yael Gal']","['+972545678901', '+972511234567']"
evt_auto_002,Yael Gal,9.72511E+11,"['Neria Atias', 'Moshe Katz']","['+972534567890', '+972526071633']",FALSE,"['Amit Cohen', 'David Cohen']","['+972590123456', '+972501234567']",FALSE,"['Exit', 'Speakers']",[],FALSE,"['Amit Cohen', 'Rina Shapiro']","['+972590123456', '+972545678901']"
evt_auto_002,Nativ Levi,9.72525E+11,['David Cohen'],['+972501234567'],FALSE,"['Moshe Katz', 'Sarah Levy']","['+972534567890', '+972522345678']",TRUE,"['Exit', 'Speakers', 'Dance Floor']","['Speakers', 'Dance Floor']",TRUE,"['Neria Atias', 'Maya Rosen']","['+972526071633', '+972567890123']"
evt_auto_002,Neria Atias,9.72526E+11,[],[],TRUE,['Nativ Levi'],['+972524559623'],FALSE,"['Exit', 'Dance Floor']",['Dance Floor'],TRUE,"['Moshe Katz', 'Nativ Levi', 'Maya Rosen']","['+972534567890', '+972524559623', '+972567890123']"
evt_auto_003,David Cohen,9.72501E+11,[],[],TRUE,[],[],TRUE,"['Air Conditioner', 'Window', 'Entrance']","['Air Conditioner', 'Board', 'Entrance', 'Window']",TRUE,"['Yossi Mizrahi', 'Rina Shapiro']","['+972556789012', '+972545678901']"
evt_auto_003,Sarah Levy,9.72522E+11,['Yossi Mizrahi'],['+972556789012'],FALSE,[],[],TRUE,['Entrance'],"['Window', 'Entrance', 'Board']",TRUE,"['Amit Cohen', 'Eli Ben-David']","['+972590123456', '+972578901234']"
evt_auto_003,Moshe Katz,9.72535E+11,"['Maya Rosen', 'Eli Ben-David']","['+972578901234', '+972567890123']",TRUE,"['Yossi Mizrahi', 'David Cohen']","['+972556789012', '+972501234567']",TRUE,"['Window', 'Board', 'Entrance']","['Board', 'Entrance']",TRUE,"['Neria Atias', 'Maya Rosen']","['+972526071633', '+972567890123']"
evt_auto_003,Rina Shapiro,9.72546E+11,"['David Cohen', 'Sarah Levy']","['+972501234567', '+972522345678']",TRUE,"['Yossi Mizrahi', 'Moshe Katz']","['+972534567890', '+972556789012']",FALSE,"['Window', 'Board']","['Air Conditioner', 'Window']",TRUE,"['Leah Peretz', 'Yossi Mizrahi', 'David Cohen']","['+972589012345', '+972556789012', '+972501234567']"
evt_auto_003,Yossi Mizrahi,9.72557E+11,[],[],TRUE,[],[],TRUE,['Air Conditioner'],"['Window', 'Entrance', 'Board']",FALSE,"['Rina Shapiro', 'David Cohen']","['+972545678901', '+972501234567']"
evt_auto_003,Maya Rosen,9.72568E+11,[],[],TRUE,['Eli Ben-David'],['+972578901234'],FALSE,"['Air Conditioner', 'Window', 'Board']","['Air Conditioner', 'Window', 'Entrance', 'Board']",TRUE,"['Moshe Katz', 'Eli Ben-David', 'Neria Atias']","['+972534567890', '+972578901234', '+972526071633']"
evt_auto_003,Eli Ben-David,9.72579E+11,"['Yael Gal', 'Sarah Levy']","['+972511234567', '+972522345678']",TRUE,[],[],TRUE,"['Air Conditioner', 'Board']","['Board', 'Entrance', 'Window']",TRUE,"['Amit Cohen', 'Maya Rosen', 'Sarah Levy']","['+972590123456', '+972567890123', '+972522345678']"
evt_auto_003,Leah Peretz,9.72589E+11,"['Nativ Levi', 'Eli Ben-David']","['+972524559623', '+972578901234']",TRUE,['Maya Rosen'],['+972567890123'],TRUE,"['Board', 'Entrance']","['Air Conditioner', 'Window', 'Entrance']",TRUE,"['Nativ Levi', 'Rina Shapiro', 'Yael Gal']","['+972524559623', '+972545678901', '+972511234567']"
evt_auto_003,Amit Cohen,9.7259E+11,[],[],TRUE,"['Yossi Mizrahi', 'David Cohen']","['+972556789012', '+972501234567']",TRUE,['Air Conditioner'],[],FALSE,"['Nativ Levi', 'Eli Ben-David', 'Sarah Levy']","['+972524559623', '+972578901234', '+972522345678']"
evt_auto_003,Yael Gal,9.72511E+11,"['Neria Atias', 'Nativ Levi']","['+972524559623', '+972526071633']",TRUE,"['Maya Rosen', 'Leah Peretz']","['+972589012345', '+972567890123']",FALSE,"['Window', 'Board']","['Window', 'Entrance']",TRUE,"['Leah Peretz', 'Nativ Levi']","['+972589012345', '+972524559623']"
evt_auto_003,Nativ Levi,9.72525E+11,"['Maya Rosen', 'Eli Ben-David']","['+972578901234', '+972567890123']",FALSE,"['Neria Atias', 'David Cohen']","['+972501234567', '+972526071633']",TRUE,['Entrance'],"['Window', 'Entrance']",TRUE,"['Leah Peretz', 'Amit Cohen', 'Yael Gal']","['+972589012345', '+972590123456', '+972511234567']"
evt_auto_003,Neria Atias,9.72526E+11,['Amit Cohen'],['+972590123456'],FALSE,[],[],TRUE,"['Window', 'Board', 'Entrance']","['Board', 'Entrance']",TRUE,"['Moshe Katz', 'Maya Rosen']","['+972534567890', '+972567890123']"
evt_auto_004,David Cohen,9.72501E+11,['Yossi Mizrahi'],['+972556789012'],FALSE,"['Nativ Levi', 'Maya Rosen']","['+972524559623', '+972567890123']",TRUE,['Stage'],['Screen'],FALSE,"['Moshe Katz', 'Leah Peretz', 'Amit Cohen', 'Rina Shapiro']","['+972534567890', '+972589012345', '+972590123456', '+972545678901']"
evt_auto_004,Sarah Levy,9.72522E+11,[],[],TRUE,[],[],TRUE,[],"['Screen', 'Charging Point']",,"['Nativ Levi', 'Eli Ben-David', 'Neria Atias', 'Yossi Mizrahi']","['+972524559623', '+972578901234', '+972526071633', '+972556789012']"
evt_auto_004,Moshe Katz,9.72535E+11,[],[],TRUE,[],[],TRUE,['Charging Point'],"['Writing Table', 'Stage', 'Screen', 'Charging Point']",TRUE,"['David Cohen', 'Yael Gal']","['+972501234567', '+972511234567']"
evt_auto_004,Rina Shapiro,9.72546E+11,"['Yossi Mizrahi', 'Maya Rosen']","['+972556789012', '+972567890123']",FALSE,[],[],TRUE,"['Stage', 'Screen']",[],FALSE,"['Leah Peretz', 'Amit Cohen', 'David Cohen']","['+972589012345', '+972590123456', '+972501234567']"
evt_auto_004,Yossi Mizrahi,9.72557E+11,"['Amit Cohen', 'Yael Gal']","['+972590123456', '+972511234567']",FALSE,['Maya Rosen'],['+972567890123'],TRUE,"['Screen', 'Charging Point']","['Writing Table', 'Screen', 'Charging Point']",TRUE,"['Nativ Levi', 'Eli Ben-David', 'Neria Atias', 'Sarah Levy']","['+972524559623', '+972578901234', '+972526071633', '+972522345678']"
evt_auto_004,Maya Rosen,9.72568E+11,['Rina Shapiro'],['+972545678901'],FALSE,"['Nativ Levi', 'Moshe Katz']","['+972534567890', '+972524559623']",TRUE,"['Writing Table', 'Stage', 'Screen']","['Writing Table', 'Screen', 'Charging Point']",TRUE,['Yael Gal'],['+972511234567']
evt_auto_004,Eli Ben-David,9.72579E+11,['Amit Cohen'],['+972590123456'],FALSE,['Sarah Levy'],['+972522345678'],FALSE,"['Stage', 'Screen']","['Stage', 'Charging Point']",TRUE,"['Nativ Levi', 'Neria Atias', 'Yossi Mizrahi', 'Sarah Levy']","['+972524559623', '+972526071633', '+972556789012', '+972522345678']"
evt_auto_004,Leah Peretz,9.72589E+11,['Nativ Levi'],['+972524559623'],FALSE,['Neria Atias'],['+972526071633'],TRUE,['Charging Point'],"['Writing Table', 'Screen', 'Charging Point']",TRUE,"['Amit Cohen', 'Rina Shapiro', 'David Cohen']","['+972590123456', '+972545678901', '+972501234567']"
evt_auto_004,Amit Cohen,9.7259E+11,[],[],TRUE,"['Maya Rosen', 'Eli Ben-David']","['+972578901234', '+972567890123']",TRUE,['Writing Table'],['Writing Table'],TRUE,"['Leah Peretz', 'Rina Shapiro', 'David Cohen']","['+972589012345', '+972545678901', '+972501234567']"
evt_auto_004,Yael Gal,9.72511E+11,['David Cohen'],['+972501234567'],FALSE,['Yossi Mizrahi'],['+972556789012'],TRUE,"['Writing Table', 'Stage', 'Screen', 'Charging Point']","['Writing Table', 'Stage']",TRUE,"['Moshe Katz', 'Maya Rosen']","['+972534567890', '+972567890123']"
evt_auto_004,Nativ Levi,9.72525E+11,"['Leah Peretz', 'Moshe Katz']","['+972589012345', '+972534567890']",FALSE,[],[],TRUE,"['Writing Table', 'Charging Point']",[],FALSE,"['Yossi Mizrahi', 'Eli Ben-David', 'Neria Atias', 'Sarah Levy']","['+972556789012', '+972578901234', '+972526071633', '+972522345678']"
evt_auto_004,Neria Atias,9.72526E+11,[],[],TRUE,[],[],TRUE,"['Writing Table', 'Stage']",[],FALSE,"['Nativ Levi', 'Eli Ben-David', 'Yossi Mizrahi', 'Sarah Levy']","['+972524559623', '+972578901234', '+972556789012', '+972522345678']"
evt_auto_005,David Cohen,9.72501E+11,[],[],TRUE,['Eli Ben-David'],['+972578901234'],TRUE,"['Writing Table', 'Screen', 'Charging Point']","['Writing Table', 'Stage', 'Screen', 'Charging Point']",TRUE,"['Maya Rosen', 'Yael Gal', 'Sarah Levy']","['+972567890123', '+972511234567', '+972522345678']"
evt_auto_005,Sarah Levy,9.72522E+11,[],[],TRUE,['Moshe Katz'],['+972534567890'],TRUE,"['Writing Table', 'Charging Point']",[],FALSE,"['Maya Rosen', 'Rina Shapiro', 'David Cohen', 'Yael Gal']","['+972567890123', '+972545678901', '+972501234567', '+972511234567']"
evt_auto_005,Moshe Katz,9.72535E+11,"['Neria Atias', 'Amit Cohen']","['+972590123456', '+972526071633']",TRUE,[],[],TRUE,"['Writing Table', 'Stage']","['Writing Table', 'Stage', 'Screen', 'Charging Point']",TRUE,"['Leah Peretz', 'Amit Cohen', 'Eli Ben-David']","['+972589012345', '+972590123456', '+972578901234']"
evt_auto_005,Rina Shapiro,9.72546E+11,[],[],TRUE,[],[],TRUE,"['Stage', 'Charging Point']","['Writing Table', 'Stage', 'Screen', 'Charging Point']",TRUE,"['Nativ Levi', 'Yael Gal', 'Maya Rosen', 'Sarah Levy', 'Neria Atias']","['+972524559623', '+972511234567', '+972567890123', '+972522345678', '+972526071633']"
evt_auto_005,Yossi Mizrahi,9.72557E+11,['Maya Rosen'],['+972567890123'],FALSE,[],[],TRUE,"['Writing Table', 'Stage']","['Stage', 'Screen', 'Charging Point']",TRUE,['Amit Cohen'],['+972590123456']
evt_auto_005,Maya Rosen,9.72568E+11,"['Rina Shapiro', 'Yael Gal']","['+972545678901', '+972511234567']",TRUE,"['Moshe Katz', 'Sarah Levy']","['+972534567890', '+972522345678']",FALSE,"['Writing Table', 'Stage', 'Charging Point']",[],FALSE,"['Nativ Levi', 'David Cohen', 'Rina Shapiro', 'Sarah Levy', 'Neria Atias']","['+972524559623', '+972501234567', '+972545678901', '+972522345678', '+972526071633']"
evt_auto_005,Eli Ben-David,9.72579E+11,[],[],TRUE,['Leah Peretz'],['+972589012345'],FALSE,"['Stage', 'Screen', 'Charging Point']","['Writing Table', 'Charging Point']",TRUE,"['Moshe Katz', 'Leah Peretz', 'Amit Cohen']","['+972534567890', '+972589012345', '+972590123456']"
